,이름,장르,총합 별점,관심수,평균 조회수,평균 업로드 간격,평균 공백 제거 글자수,평균 댓글 수,Target
261,마법사가 파티를 맺으면 안되는 이유,라이트노벨,9.97,9,83.4,1.0,568.6,0.4,0
262,마법소녀의 일상,라이트노벨,10.0,0,12.2,0.25,581.2,0.0,0
263,인성이 좋아지게 해달라고 빌었더니 다른 인성이 좋아졌다,라이트노벨,9.81,40,609.8,0.25,1421.0,0.4,0
264,나와 여자애와 동영상.avi,라이트노벨,9.91,19,248.2,1.25,5584.4,0.8,0
265,사사이성(사람사랑이별성숙),라이트노벨,9.93,9,109.6,0.0,384.8,0.0,0
266,조금 특별한 우리는,라이트노벨,9.86,23,391.6,3.5,4895.8,0.0,0
267,악명 높기로 악명 높은 자,라이트노벨,9.43,140,2170.4,0.75,2847.6,4.0,0
268,우리는 계약관계,라이트노벨,10.0,8,153.8,2.75,4572.0,0.2,0
269,바뀌어버린 세계,라이트노벨,9.94,11,535.0,1.5,2385.6,0.8,0
270,희비록,라이트노벨,9.99,6,73.2,1.75,1198.6,1.4,0
271,생명과 이름:『호명 / 呼名』,라이트노벨,7.71,3,45.8,0.5,3052.4,0.4,0
272,강약약강(强弱弱强),라이트노벨,10.0,3,25.0,0.5,2890.4,0.2,0
273,당신도 용사가 될 수 있습니다! 아마도?,라이트노벨,9.97,14,517.8,0.25,2085.4,1.6,0
